id,query,answer
1,Who is the class teacher of grade 6?,The class teacher of grade 6 is Mrs. Sharma.
2,When is the PTM for grade 6?,The PTM for grade 6 is scheduled in August.
3,What are the fees for grade 7 next year?,"The fees for grade 7 in 2025 are $45,000."
4,Who teaches grade 9?,Mr. Verma is the class teacher for grade 9.
5,What is the fee structure for grade 8?,"The current fee for grade 8 is $40,000."
6,When is the next PTM for grade 9?,The next PTM for grade 9 is in September.
7,Can I pay fees online?,"Yes, fees can be paid through the online parent portal."
8,When is the school closed for holidays?,The school is closed for winter holidays in December.
9,What is the dress code for PTM?,There is no formal dress code for PTM. Casuals are fine.
10,Who organizes the annual sports day?,Mr. Gupta organizes the annual sports day in November.
11,When does the new academic session start?,The new session starts in April.
12,How can I apply for a Transfer Certificate?,Please contact the admin office to apply for a TC.
13,What are the library timings?,The library is open from 8 AM to 3 PM on all working days.
14,Is there a bus facility for students?,"Yes, the school provides bus facility for most localities."
15,How can I meet the principal?,You can meet the principal on Fridays between 10 AM to 12 PM.
16,What is the syllabus for grade 10 math?,"Grade 10 math covers algebra, geometry, and trigonometry."
17,Who is the head of the science department?,Mr. Rakesh is the head of the science department.
18,What is the admission process?,Admission forms are available online and at the school reception.
19,Are there extracurricular activities?,"Yes, we offer dance, music, art, and various sports activities."
20,When is the annual day function?,The annual day function is held in December.
21,How do I get the report card?,Report cards are distributed after the final exams in March.
22,What are the rules for school uniform?,Students must wear the prescribed school uniform on all days.
23,When is the science fair?,The science fair is organized in October every year.
24,Is there a parent orientation program?,"Yes, it is conducted at the start of each session in April."
25,What languages are taught?,"English, English, and Sanskrit are taught from grade 1 onwards."
26,Who supervises the computer lab?,Mrs. Neha supervises the computer lab sessions.
27,When are the inter-school competitions?,They are usually held between September and November.
28,How can I update my contact information?,Submit a written request to the admin office to update contact details.
29,What medical facilities are available?,We have a well-equipped infirmary with a nurse available during school hours.
30,Is there a PTA body?,"Yes, there is an active PTA that meets every quarter."
31,Who coordinates the art club?,The art club is coordinated by Mrs. Sen.
32,Is there a robotics club?,"Yes, we have a robotics club for classes 6 and above."
33,How many students are there in grade 10?,Grade 10 currently has 48 students enrolled.
34,When is the school picnic?,The school picnic is planned in February.
35,What is the timing of morning assembly?,Morning assembly starts at 7:50 AM daily.
36,Can parents volunteer for events?,"Yes, parents are encouraged to volunteer for school events."
37,Who heads the sports department?,The sports department is headed by Mr. Das.
38,Are there any scholarships?,"Yes, merit scholarships are awarded to top-performing students."
